order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied,product_name,category,launch_date,base_price,supplier_code,email,signup_date,gender,region_cust,loyalty_tier
O966977,C00397,P0022,3.0,39.25,2025-07-06,Delivered,Paypal,Central,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,jacquelinemartin@mills-logan.com,2024-09-08,Female,North,Silver
O696648,C00236,P0023,5.0,18.92,2025-07-06,Delayed,Credit Card,North,0.0,Outdoors Product 32,Outdoors,2025-01-18,36.04,S907,georgeweber@morgan.com,2024-08-06,Other,North,Gold
O202644,C00492,P0011,1.0,29.68,2025-07-07,Delivered,Bank Transfer,North,0.15,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,lcook@walters-smith.com,2024-09-25,Male,Central,Gold
O501803,C00031,P0003,1.0,32.76,2025-07-08,Cancelled,Credit Card,Central,0.2,Cleaning Product 85,Cleaning,2024-07-15,7.92,S745,smoore@gmail.com,2024-07-28,Femle,Central,Gold
O322242,C00495,P0016,1.0,47.62,2025-07-08,Delayed,Credit Card,West,0.2,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,mcclainkatherine@hotmail.com,2024-09-18,Male,Central,Gold
O190175,C00388,P0005,3.0,37.89,2025-07-10,Delayed,Bank Transfer,North,0.1,Personal Care Product 1,Personal Care,2024-10-20,31.1,S559,abbottdominique@yahoo.com,2024-09-23,Male,North,Gold
O272646,C00328,P0027,5.0,30.83,2025-07-12,Delivered,Paypal,Central,0.05,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,adamsnorman@moore.com,2024-07-08,Female,Central,Gold
O411881,C00201,P0019,3.0,12.56,2025-07-14,Delivered,Credit Card,East,0.0,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,christopher24@whitehead-hernandez.biz,2024-08-10,Female,East,Gold
O170570,C00076,P0030,3.0,28.32,2025-07-16,Delivered,Paypal,Central,0.15,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,jeffrey10@herring.com,2025-03-04,Femle,North,Gold
O619944,C00330,P0002,1.0,30.96,2025-07-18,Delayed,Credit Card,South,0.15,Cleaning Product 82,Cleaning,2024-08-18,34.23,S974,ryanhawkins@russell.com,2025-02-22,Other,West,Bronze
O490023,C00285,P0022,2.0,9.98,2025-07-20,Delivered,Credit Card,Central,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,hendersonisabella@mcknight.info,2024-07-18,Male,Central,Bronze
